Last_name,First_name,Family_affiliation,Hogwarts_house,Pure_blood,Member_of,Occupation_records,General_info
Abbott,Hannah,,Hufflepuff,TRUE,Dumbledore's Army,Student,Hufflepuff student in Harry Potter's year. Prefect and member of Dumbledore's Army.
Avery,I,Avary family,Slytherin,TRUE,Slug club,,"Member of Tom Riddle's gang when they attended Hogwarts, and was a member of the Slug Club"
Avery,II,Avary family,Slytherin,TRUE,Death Eater,,"School friend of Severus Snape. After graduating from Hogwarts, he became a Death Eater. He participated in the First Wizarding War, but like most Death Eaters, didn't search for Lord Voldemort after his downfall, although he was forgiven after his master's return. During the Second Wizarding War, he fought at the Battle of the Department of Mysteries with a group of Death Eaters, attempting to take a prophecy from Harry Potter."
Bagman,Ludo,,,,,Ministry of magic,Head of the Department of Magical Games and Sports within the Ministry of Magic.
Bagshot,Bathilda,,,,,,"Author of A History of Magic, and the great aunt of Gellert Grindelwald. She lived in Godric's Hollow, and was murdered around December, 1997, after which her corpse was animated by Lord Voldemort to contain his pet snake Nagini."
Barebone,Credence,,,TRUE,,,"Alegedly a member of the Dumbledore family, he was adopted by Barebone, leader of an ani-witchcraft society. Due to the repression of his magic, Credence developed a dark parasitic force known as an Obscurus and became an Obscurial. Grindelwald wanted to use this Obscurus force, in his battle against Albus Dumbledore."
Bell,Katie,,,FALSE,Dumbledore's Army,Student,Gryffindor Quidditch Chaser one year above Harry Potter. Member of Dumbledore's Army.
Binns,Cuthbert,,,TRUE,,Ghost,History of Magic professor.
Black,Arcturus,Black family,,TRUE,,,Grandfather of Serius Black.
Black,Cedrella,"Black family, Weasley family",,TRUE,,,"Mother of Arthur Weasley. Paternal grandfather of Bill, Charlie, Percy, Fred, George, Ron and Ginny Weasley, great-grandfather to James, Albus and Lily Potter, Victoire, Dominique, Louis, Molly II, Lucy, Fred and Roxanne Weasley and Rose and Hugo Granger-Weasley. "
Black,Irma,"Black family, Crabbe family",,TRUE,,,"Mother of Walburga. Grandmother of Bellatrix, Narcissa and Andromeda. Wife of Pollux."
Black,Phineas Nigellus,Black family,,TRUE,,Headmaster,Great-great-grandfather of Sirius Black and former Hogwarts headmaster. His painting hangs in the office and assists the current headmaster.
Black,Pollux,Black family,,TRUE,,,Husband of Irma. Grandfather of Sirius Black.
Black,Regulus,Black family,,TRUE,"Death Eater, Slug club",,Brother of Sirius Black. He defied Voldemort and found and intended to destroy Salazar Slytherin's locket (horcrux) and died when dragged into the lake and drowned by Voldemort's inferi.
Black,Sirius,Black family,Gryffindor,TRUE,Order of the Phoenix,,Harry's godfather who was a close friend of Harry's father James. Escapee from Azkaban prison and member of the Order of the Phoenix. Killed in the Battle of the Department of Mysteries by his cousin Bellatrix Lestrange.
Black,Walburga,Black family,,TRUE,,,"Mother of Sirius and Regulus Black. Her portrait hangs in Number 12, Grimmauld Place."
Bobbin,Melinda,,,FALSE,,,Her family owned a large chain of apothecaries.
Bones,Amelia,Bones family,,FALSE,,Magical Law Enforcement,"Head of the Department of Magical Law Enforcement, and the aunt of Susan Bones. Killed by Lord Voldemort."
Bones,Susan,"Bones family, McMillan family",Hufflepuff,FALSE,Dumbledore's Army,Student,Hufflepuff student in Harry's year. Member of Dumbledore's Army.
Boot,Terry,,Ravenclaw,FALSE,Dumbledore's Army,Student,Ravenclaw student in Harry's year. Member of Dumbledore's Army.
Brown,Lavender,,Gryffindor,TRUE,Dumbledore's Army,Student,Gryffindor student in Harry's year and member of Dumbledore's Army. Killed in the Battle of Hogwarts.
Bulstrode,Millicent,,Slytherin,TRUE,Inquisitorial Squad,Student,Slytherin student in Harry's year. Member of Dolores Umbridge's Inquisitorial Squad.
Burbage,Charity,,,FALSE,,Professor,Professor of Muggle Studies at Hogwarts. Killed by Lord Voldemort.
Bryce,Frank,,,FALSE,,,Muggle gardener for the Riddle family. Killed by Lord Voldemort.
Carrow,Alecto,,,TRUE,Death Eater,Professor,"Death Eater and sister of Amycus Carrow. Professor of Muggle Studies for one year, and Deputy Headmistress of Hogwarts under Severus Snape."
Carrow,Amycus,,,TRUE,Death Eater,Professor,"Death Eater and brother of Alecto Carrow. Professor of Defence Against the Dark Arts for one year, and Deputy Headmaster of Hogwarts under Snape."
Carrow,Flora,,Slytherin,TRUE,Slug club,,"She and her twin sister Hestia were underage to fight in the battle, they likely departed the school along with most other members of their house before the battle started."
Carrow,Hestia,,Slytherin,TRUE,Slug club,,Hestia and her twin sister Flora were present in the Great Hall prior to the Battle of Hogwarts when classmate Pansy Parkinson urged students to hand over Harry Potter to Lord Voldemort.
Cattermole,Reginald,,,FALSE,,Ministry of magic,Employee of the Magical Maintenance Department for the Ministry of Magic. Impersonated by Ron Weasley.
Cattermole,Mary,,,FALSE,,,Muggle-born wife of Reginald Cattermole. Saved by Harry Potter from the Muggle-born Registration Commission.
Chang,Cho,,Ravenclaw,,Dumbledore's Army,Student,"Ravenclaw Quidditch Seeker one year above Harry, and his first love interest. Member of Dumbledore's Army."
Clearwater,Penelope,,Ravenclaw,FALSE,,,Ravenclaw prefect and girlfriend of Percy Weasley.
Cole,Mrs.,,,FALSE,,,Matron of the orphanage where Tom Riddle lived.
Cooper,Buckley,,,,,Daily Prophet,Wizard who wrote to the Daily Prophet advice page.
Corner,Michael,,Ravenclaw,FALSE,Dumbledore's Army,Student,Ravenclaw student in Harry's year. Member of Dumbledore's Army.
Crabbe,Mr.,,Slytherin,TRUE,Death Eater,,Death Eater and father of Vincent Crabbe.
Crabbe,Vincent,,Slytherin,TRUE,,Student,Slytherin student in Harry's year and the son of a Death Eater. Slytherin Quidditch Beater and member of the Inquisitorial Squad. Killed by his own Fiendfyre spell.
Creevey,Colin,,Gryffindor,FALSE,,Student,"Muggle-born Gryffindor student one year below Harry. Older brother of Dennis Creevey, and member of Dumbledore's Army. Killed during the Battle of Hogwarts."
Creevey,Dennis,,,FALSE,,Student,"Muggle-born Gryffindor student three years below Harry. Younger brother of Colin Creevey, and member of Dumbledore's Army."
Cresswell,Dirk,Cresswell family,,FALSE,Slug club,,"Muggle-born Head of the Goblin Liaison Office. He was hunted by the Ministry of Magic and the Snatchers. He went on the run with fellow Muggle-borns Ted Tonks, Dean Thomas and goblins Gornuk and Griphook, during which he is killed."
Cresswell,Gabriel,Cresswell family,Gryffindor,FALSE,,Auror,Son of Dirk Cresswell. Became an Auror. Father of Isis Cresswell.
Cresswell,Iris,Cresswell family,Ravenclaw,FALSE,,Student,Daughter of Gabriel Cresswell. Classmate of Albus Severus Potter.
Cresswell,Michael,Cresswell family,Gryffindor,FALSE,Dumbledore's Army,Student,Brother of Gabriel Cresswell. Dolores Umbridge made him use a blood quill to write lines as punishment.
Crouch,Bartemius Sr.,,,TRUE,,,Barty Sr. Head of the Department of International Magical Cooperation. Killed by his son Barty Crouch Jr.
Crouch,Bartemius Jr.,,,TRUE,Death Eater,,"Barty Jr. Death Eater credited with facilitating the return of Lord Voldemort. Used Polyjuice Potion to impersonate Alastor Moody, and received a Dementor's Kiss."
Cuff,Barnabas,,,,Slug club,Daily Prophet,Editor-in-chief of the Daily Prophet
Davies,Roger,,Ravenclaw,,,Student,Ravenclaw Quidditch Captain and Chaser. Attended Yule Ball with Fleur Delacour.
Dawlish,John,,,,,Auror,"He was unflappable during conflicts and remained calm and generally unfazed by threats from his criminal enemies. He accompanied Cornelius Fudge in an failed attempt to arrest Dumbledore. After the Battle of the Department of Mysteries, Dawlish was one of the Aurors who arrived in the Ministry Atrium. During the course of the Second Wizarding War, however, Dawlish's powers were diminished somewhat as he was incapacitated and attacked quite frequently."
Delacour,Fleur,,,FALSE,,Student,Participant in the Triwizard Tournament as a representative of wizarding school Beauxbatons. Later married Bill Weasley. Mother of Victoire Weasley.
Delacour,Gabrielle,,,FALSE,,Student,Fleur's younger sister. Rescued by Harry during the Triwizard Tournament.
Diggle,Dedalus,,,FALSE,"Order of the Phoenix, Advance Guard",,Member of the Order of the Phoenix who took the Dursleys into hiding.
Diggory,Amos,,,FALSE,,,Cedric Diggory's father. Employee of the Department for the Regulation and Control of Magical Creatures.
Diggory,Cedric,,Hufflepuff,FALSE,,Student,"Hufflepuff student and prefect two years above Harry. Quidditch Seeker and captain, and co-winner of the Triwizard Tournament. Killed by Peter Pettigrew on Lord Voldemort's command."
Dippet,Armando,,,,,Professor,Professor at Hogwarts. Served as headmaster before Albus Dumbledore.
Doge,Elphias,,,TRUE,"Order of the Phoenix, Advance Guard",,School friend of Albus Dumbledore.
Dolohov,Antonin,,,TRUE,Death Eater,,"Death Eater who killed Fabian Prewett, Gideon Prewett, and Remus Lupin."
Dumbledore,Abeforth,,Gryffindor,FALSE,Order of the Phoenix,,Brother of Albus and Ariana Dumbledore. Owner of the Hog's Head tavern.
Dumbledore,Albus,,Gryffindor,FALSE,Order of the Phoenix,Professor,Transfiguration professor in Tom Riddle's time and Hogwarts headmaster in Harry Potter's time. Founder of the Order of the Phoenix. Killed by Severus Snape on his own request.
Dumbledore,Ariana,,,FALSE,,,"Sister of Albus and Aberforth Dumbledore, killed in three-way duel between her brothers and Gellert Grindelwald."
Dumbledore,Kendra,,,FALSE,,,"Wife of Percival Dumbledore. Mother of Albus, Aberforth and Ariana Dumbledore."
Dumbledore,Percival,,,FALSE,,,"Husband of Kendra Dumbledore, father of Albus, Aberforth and Ariana Dumbledore."
Dursley,Dudley,,,FALSE,,,"Muggle son of Vernon Dursley and Petunia Evans, first cousin of Harry Potter."
Dursley,Marge,,,FALSE,,,Muggle sister of Vernon Dursley.
Dursley,Petunia,,,FALSE,,,"Harry's aunt, and his mother Lily's sister.  Vernon's wife and Dudley's mother."
Dursley,Vernon,,,FALSE,,,Harry Potter's Muggle uncle. Petunia's husband and Dudley's father.
Edgecombe,Marietta,,Ravenclaw,TRUE,Dumbledore's Army,Student,Ravenclaw student one year above Harry. Member of Dumbledore's Army who later betrays the group to Dolores Umbridge.
Figg,Arabella,,,,Order of the Phoenix,,Squib neighbor of the Dursleys. Member of the Order of the Phoenix.
Filch,Argus,,,,,Hogwarts stuff,Squib caretaker of Hogwarts.
Finch - Fletchey,Ignatius,,Hufflepuff,FALSE,,Student,Son of Justin Finch-Fletcher. Good friends with housemates Louis Weasley and Morgan Hallterman.
Finch - Fletchey,Justin,,Hufflepuff,FALSE,Dumbledore's Army,Student,Muggle-born Hufflepuff student in Harry's year. Member of Dumbledore's Army.
Finnigan,Seamus,,Gryffindor,FALSE,Dumbledore's Army,Student,Gryffindor student in Harry's year. Member of Dumbledore's Army and best friend of housemate Dean Thomas. Became professor at Hogwarts.
Flamel,Nicolas,,,,,,Creator and owner of the Philosopher's Stone.
Fleur - Perl,Dahlia,,,,Slug club,,"Opera singer. Horace Slughorn kept a picture of her in a Viking maiden costume on his shelf, which she had inscribed, ""Best wishes"". "
Flint,Marcus,,Slytherin,TRUE,,Student,Slytherin Quidditch captain.
Fletcher,Mundungus,,,FALSE,Order of the Phoenix,,Common thief and shifty Order of the Phoenix member.
Flitwick,Filius,,Ravenclaw,FALSE,,Professor,"Head of Ravenclaw House and Charms professor at Hogwarts. Flitwick was a duelling champion when he was young. He opposed Dolores Umbridge, the High Inquisitor of Hogwarts. Fought at the Battle of the Astronomy Tower. He also protected the students from the Carrows. He defeated many Death Eaters and survived the war. He continued to teach Charms at Hogwarts to future generations of students. Good friends with Minerva McGonagall."
Flume,Ambrosius,,,,Slug club,Hogsmeade,"Owner of Honeydukes sweetshop, a very popular shop among Hogwarts students during their weekend outtings in the village."
Fortescue,Florean,,,,,Diagon Alley,Ice cream vendor at Diagon Alley.
Fudge,Cornelius,,,TRUE,,Ministry of magic,Minister for Magic in the first five books. Sacked after persistently denying Lord Voldemort's return.
Gaunt,Marvolo,,,TRUE,,,"The pure-blood father of Merope and Morfin Gaunt, and grandfather of Tom Marvolo Riddle."
Gaunt,Merope,,,TRUE,,,Tom Riddle's mother who died in childbirth.
Gaunt,Morfin,,,TRUE,,,"Marvolo's son and Merope's brother. Framed by his nephew Tom Riddle for Muggle killings, and died in Azkaban."
Goldstein,Anthony,,Ravenclaw,FALSE,Dumbledore's Army,Student,Ravenclaw student in Harry's year. Member of Dumbledore's Army.
Goldstein,Tina,,,FALSE,,Auror,"Porpentina. American witch. She attended Ilvermorny School of Witchcraft and Wizardry, where she was sorted into Thunderbird house. Sister of Queenie Goldstein. Newt Scamenders wife."
Goldstein,Queenie,,,FALSE,,,"American half-Blood witch. She attended Ilvermorny School of Witchcraft and Wizardry, where she was sorted into Pukwudgie house. Younger sister of Tina Goldstein."
Goyle,Mr.,,Slytherin,TRUE,Death Eater,,Death Eater and father of Gregory Goyle.
Goyle,Gregory,,Slytherin,TRUE,Inquisitorial Squad,Student,Slytherin student in Harry's year. Slytherin Quidditch Beater and member of the Inquisitorial Squad.
Granger,Hermione,,Gryffindor,FALSE,"Dumbledore's Army, Slug club",Student,Muggle-born Gryffindor student in Harry's year and one of his best friends. Prefect and co-founder of Dumbledore's Army.
Greengrass,Astoria,,Slytherin,TRUE,,Student,Draco Malfoy's wife. Mother of Scorpius Malfoy. She died in 2019 due to her blood curse.
Greengrass,Daphne,,Slytherin,TRUE,,Student,Sister of Astoria.
Gregorovitch,,,,,,,Highly regarded Eastern European wandmaker.
Greyback,Fenrir,,,FALSE,Death Eater,,Fenrir Greyback – Werewolf working for the Death Eaters.
Grindelwald,Gellert,,,,,,"Former close friend and lover of Albus Dubledore. A dark wizard who was jailed in Nurmengard, after Albus Dumbledore defeated him in the 1940s. Owner of the Elder wand, before he lost it in the duel against Albus Dumbledore."
Grubbly - Plank,Wilhelmina,,,,,Professor,Wilhelmina Grubbly-Plank – Substitute Care of Magical Creatures professor during Harry's fourth and fifth years.
Gryffindor,Godric,,Gryffindor,TRUE,Hogwarts Founder,,One of the four founders of Hogwarts. He was a very powerful wizard.
Hagrid,Rubeus,,Gryffindor,FALSE,"Order of the Phoenix, Advance Guard",Professor,"Half-giant wizard, son of the giantess Fridwulfa and elder half-brother of the giant Grawp. Hogwarts gamekeeper. Care of Magical Creatures professor starting in Harry's third year. Member of the Order of the Phoenix. As a Hogwarts student, he was expelled in his third year."
Hooch,Rolanda,,,FALSE,,Professor,Hogwarts flying instructor and Quidditch referee.
Hopkirk,Mafalda,,,,,Ministry of magic,Witch who works in the Ministry of Magic. Impersonated by Hermione Granger.
Hufflepuff,Helga,,Hufflepuff,TRUE,Hogwarts Founder,,Founder of Hufflepuff House. Co-founder of Hogwarts School of Witchcraft and Wizardry.
Hullterman,Morgan,,Hufflepuff,,,,
Jenkins,Emily,,Ravenclaw,TRUE,,Student,Ravenclaw chaser. Friends with Iris Cresswell and Irene Mcmillan.
Johnson,Angelina,,Gryffindor,,,Student,Gryffindor student two years above Harry. Quidditch Chaser and later team captain.
Jones,Gwenog,,,,Slug club,,Captain of the Holyhead Harpies.
Jones,Hestia,,,TRUE,"Order of the Phoenix, Advance Guard",,"Member of the Advance Guard, she later escorted the Dursleys from their home to a safe location, along with Dedalus Diggle."
Jordan,Lee,,Gryffindor,,,Student,Gryffindor student two years above Harry. Hogwarts Quidditch commentator and good friend of Fred and George Weasley.
Jorkins,Bertha,,,,,Ministry of magic,Ministry of Magic employee that worked under the Department of Magical Games and Sports. Killed by Voldemort in order to create Nagini as the last horcrux.
Kama,Laurena,,,TRUE,,,Wife to both Mustafa Kama and mother to Yusuf Kama. She was put under the Imperius Curse by Corvus Lestrange and forcibly had a daughter with him. Laurena died after giving birth to Leta Lestrange.
Kama,Mustafa,,,TRUE,,,French wizzard of Senegalese descent. Father Of Yusuf Kama.
Kama,Yusuf,,,TRUE,,,"French wizzard,son of Mustafa. Last male in his family line."
Karkaroff,Igor,,,TRUE,,Headmaster,Reformed Death Eater. Headmaster of wizarding school Durmstrang.
Kowalski,Jacob,,,FALSE,,,Non-maji. Friend of Newt Scamander and boyfriend of Queenie Goldstein. 
Krum,Viktor,,,TRUE,,Student,Bulgarian Quidditch Seeker and Durmstrang student who participated in the Triwizard Tournament.
Kettlebum,Silvanus,,,TRUE,,Professor,Care of Magical Creatures teacher until Harry's third year.
Lestrange,,Lestrange family,Slytherin,TRUE,Slug club,,"He was a member of Tom Riddle's gang when they attended Hogwarts.During his time at school, Lestrange forgot to turn in a Potions essay for Professor Slughorn and was nearly put in detention."
Lestrange,Bellatrix,"Black family, Lestrange family",Slytherin,TRUE,Death Eater,,Cousin of Sirius Black. Sister to Narcissa Malfoy and Andromeda Tonks. A Death Eater who tortured Neville Longbottom's parents Frank and Alice into insanity. She killed Serious Black. She was killed by Molly Weasley during the Battle of Hogwarts.
Lestrange,Clarisse,"Lestrange family, Tremblay family",,TRUE,,,Second wife of Corvus Lestrange
Lestrange,Leta,"Lestrange family, Tremblay family",Slytherin,TRUE,,,"Daughter of Corvus Lestrange and Laurena Kama. Newt Scamander's high school love. Fiancé of his borther, Theseus Scamander. She regarded herself guilty of unintentionally killing her brother. She was onboard the Titanic. She sacrificed herself, distracting Grindelwalt in Paris. Her demise inspired Newt Scamander to openly go to war against Grindelwald."
Lestrange,Rabastan,,,TRUE,Death Eater,,Death Eater. Brother of Rodolphus Lestrange.
Lestrange,Rodolfus,,,TRUE,Death Eater,,Death Eater. Bellatrix's husband and Rabastan's brother.
Lockhart,Gilderoy,,Ravenclaw,FALSE,,Professor,Fraudulent celebrity author and Defence Against the Dark Arts teacher. Lost his memory after a memory charm backfired and resided in St. Mungo's afterwards.
Longbottom,Alice,,Gryffindor,TRUE,Order of the Phoenix,Auror,Neville Longbottom's mother. Auror and member of the original Order of the Phoenix. Tortured into insanity by Bellatrix Lestrange.
Longbottom,Agusta,,Gryffindor,TRUE,,,"Frank's mother and Neville's grandmother, who raises him after his parents are incapacitated."
Longbottom,Frank,,Gryffindor,TRUE,Order of the Phoenix,Auror,Neville Longbottom's Father. Auror and member of the original Order of the Phoenix. Tortured into insanity by Bellatrix Lestrange.
Longbottom,Neville,,Gryffindor,TRUE,,Student,Gryffindor student in Harry's year. Member of Dumbledore's Army.
Lovegood,Luna,Lovegood family,Ravenclaw,TRUE,,Student,Xenophilius Lovegood's daughter and Ravenclaw student one year below Harry. Member of Dumbledore's Army and wife of Newt Scamander's grandson Rolf.
Lovegood,Pandora,Lovegood family,,,,,"Luna's mother and Xenophilius' wife. She was an extraordinary witch who liked to experiment with spells and she died when her own spell backfired, when Luna was nine."
Lovegood,Xenophilius,Lovegood family,,TRUE,,,Luna's father. Editor of tabloid magazine The Quibbler.
Lupin,Remus,"Lupin family, Tonks family, Black family",Gryffindor,FALSE,,,"Lycanthropic Gryffindor student before Harry's time who befriended Sirius Black and James Potter. Professor of Defence Against the Dark Arts in Harry's third year, and member of the Order of the Phoenix. He and his wife Nymphadora Tonks gave birth to a son, Teddy, before dying in the Battle of Hogwarts."
Lupin,Teddy,"Lupin family, Tonks family, Black family, Potter family",Hufflepuff,FALSE,,,Edward Lupin. Son of Remus Lupin and Nymphadora Tonks. Harry Potter's godson. Boyfriend of Victoire Weasley. 
Macnair,Walden,,,TRUE,Death Eater,,Death Eater and Committee of Disposal of Dangerous Creatures' executioner. Injured badly by Hagrid during the Battle of Hogwarts.
Malfoy,Abraxas,Malfoy family,Slytherin,TRUE,,,"Father of Lucius Malfoy, grandfather of Draco Malfoy and great-grandfather of Scorpius Malfoy. He was related by marriage to the Blacks, through his daughter-in-law Narcissa, and, more distantly, to the Lestranges. An old friend of Slughorn's."
Malfoy,Draco,"Malfoy family, Black family",Slytherin,TRUE,,Student,"Slytherin student in Harry's year. Quidditch Seeker, prefect, and member of the Inquisitorial Squad."
Malfoy,Lucius,"Malfoy family, Black family",Slytherin,TRUE,"Death Eater, Slug club",Ministry of magic,Husband of Narcissa. Draco Malfoy's father. Respected high-ranking Ministry of Magic official. Governor of Hogwarts early in the series. Influential Death Eater.
Malfoy,Narcissa,"Malfoy family, Black family",Slytherin,TRUE,,,Lucius' wife and Draco's mother. Sister of Bellatrix Lestrange and Andromeda Tonks. Cousin of Sirius Black.
Malfoy,Scorpius,"Malfoy family, Black family",Slytherin,TRUE,,Student,Son of Draco Malfoy and Astoria Greengrass. Sorted into Slytherin. Friends with Albus Potter.
Malkin,Madam,,,,,Diagon Alley,Clothing shop owner in Diagon Alley.
Marchbanks,Griselda,,,,,Professor,"Governor of the Wizarding Examinations Authority which ran the O.W.L, N.E.W.T., and W.O.M.B.A.T. exams. Wizengamot elder. She was a friend and supporter of Albus Dumbledore, impressed by his incredible magical talents. According to Neville Longbottom, she was a tough and strict woman much like his grandmother."
Maxime,Olympe,,,FALSE,Order of the Phoenix,Headmaster,French half-giant witch. Headmistress of Beauxbatons Academy of Magic.
McGonagall,Malcolm,"McGonagall family, Ross family",,FALSE,,,Younger brother of Minerva McGonagall. Malcolm eventually fathered at least one child. His offspring would often visit his sister's home in Hogsmeade during her brief marriage.
McGonagall,Minerva,"McGonagall family, Ross family, Urquart family",Gryffindor,FALSE,Order of the Phoenix,Professor,"Hogwarts Transfiguration professor. Head of Gryffindor House. Animagus. Deputy Headmistress of Hogwarts, and member of the Order of the Phoenix. Assumes position of Hogwarts Headmaster for a time after Voldemort's death."
